rep	entropy	dnds	fspec	omega	kappa	lnlik	k	aic	bic
100	3.306659343	0.856670288	f61	0.822353	33.5934	-1962123.879	63	3924253.757	3925074.46689278
100	3.306659343	0.856670288	f1x4	0.854599	33.9631	-1959686.069	6	3919378.138	3919450.87218026
100	3.306659343	0.856670288	f3x4	0.75219	34.7103	-1976652.964	12	3953311.928	3953463.39636053
100	3.306659343	0.856670288	cf3x4	0.779386	33.7687	-1972504.414	12	3945014.828	3945166.29636053
100	3.306659343	0.856670288	mg1	0.850252	34.9726	-1952903.277	6	3905812.554	3905885.28818026
100	3.306659343	0.856670288	mg3	0.77197	34.6731	-1969763.843	12	3939533.687	3939685.15436053
101	3.31992608	0.799339467	f61	0.628829	30.6393	-2026901.424	63	4053808.849	4054629.55689278
101	3.31992608	0.799339467	f1x4	0.668355	31.8226	-2028663.106	6	4057332.212	4057404.94618026
101	3.31992608	0.799339467	f3x4	0.589605	31.2155	-2014761.836	12	4029529.671	4029681.14036053
101	3.31992608	0.799339467	cf3x4	0.605936	31.5855	-2026038.346	12	4052082.693	4052234.16036053
101	3.31992608	0.799339467	mg1	0.753882	34.3118	-2021894.162	6	4043794.324	4043867.05818026
101	3.31992608	0.799339467	mg3	0.674835	32.5826	-2007748.596	12	4015503.191	4015654.66036053
102	3.074714415	0.869777476	f61	0.810424	38.6112	-1900677.595	63	3801361.191	3802181.89889278
102	3.074714415	0.869777476	f1x4	0.903869	39.7606	-1899110.577	6	3798227.154	3798299.88818026
102	3.074714415	0.869777476	f3x4	0.785761	41.6491	-1943608.141	12	3887222.283	3887373.75036053
102	3.074714415	0.869777476	cf3x4	0.825167	40.2394	-1910079.664	12	3820165.329	3820316.79636053
102	3.074714415	0.869777476	mg1	0.862832	40.5099	-1894924.299	6	3789854.597	3789927.33218026
102	3.074714415	0.869777476	mg3	0.807985	41.8308	-1939203.548	12	3878413.096	3878564.56436053
103	3.007952454	0.761050408	f61	0.604082	28.2075	-1897064.059	63	3794134.118	3794954.82689278
103	3.007952454	0.761050408	f1x4	0.634611	29.5282	-1925675.86	6	3851357.721	3851430.45418026
103	3.007952454	0.761050408	f3x4	0.550862	28.9671	-1924384.219	12	3848774.438	3848925.90636053
103	3.007952454	0.761050408	cf3x4	0.571041	28.7171	-1915472.914	12	3830951.827	3831103.29636053
103	3.007952454	0.761050408	mg1	0.674047	30.9884	-1919294.271	6	3838594.541	3838667.27618026
103	3.007952454	0.761050408	mg3	0.602355	29.6309	-1917886.294	12	3835778.587	3835930.05636053
104	2.648034177	0.718900358	f61	0.534199	36.2491	-1797752.013	63	3595510.026	3596330.73489278
104	2.648034177	0.718900358	f1x4	0.650528	36.7475	-1764227.208	6	3528460.416	3528533.15018026
104	2.648034177	0.718900358	f3x4	0.548827	35.6614	-1768329.328	12	3536664.656	3536816.12436053
104	2.648034177	0.718900358	cf3x4	0.577689	38.0648	-1777538.36	12	3555082.721	3555234.18836053
104	2.648034177	0.718900358	mg1	0.610147	37.128	-1760200.924	6	3520407.847	3520480.58218026
104	2.648034177	0.718900358	mg3	0.553647	35.1486	-1763943.248	12	3527892.495	3528043.96436053
105	3.181605033	0.900300873	f61	0.76145	31.3501	-1879042.832	63	3758091.663	3758912.37289278
105	3.181605033	0.900300873	f1x4	0.838833	32.1507	-1867082.506	6	3734171.011	3734243.74618026
105	3.181605033	0.900300873	f3x4	0.726763	32.1894	-1887288.305	12	3774582.609	3774734.07836053
105	3.181605033	0.900300873	cf3x4	0.757779	32.2426	-1879605.391	12	3759216.783	3759368.25036053
105	3.181605033	0.900300873	mg1	0.826178	32.8915	-1862628.337	6	3725262.674	3725335.40818026
105	3.181605033	0.900300873	mg3	0.757024	32.3224	-1882526.606	12	3765059.212	3765210.68036053
106	3.380765936	0.755158041	f61	0.60542	27.7283	-2041236.424	63	4082478.848	4083299.55689278
106	3.380765936	0.755158041	f1x4	0.651995	27.9406	-2080400.696	6	4160807.393	4160880.12618026
106	3.380765936	0.755158041	f3x4	0.5842	29.6569	-2085632.263	12	4171270.526	4171421.99436053
106	3.380765936	0.755158041	cf3x4	0.586349	28.0099	-2064426.026	12	4128858.051	4129009.52036053
106	3.380765936	0.755158041	mg1	0.681627	29.3608	-2074879.666	6	4149765.333	4149838.06618026
106	3.380765936	0.755158041	mg3	0.653387	30.6199	-2079574.766	12	4159155.532	4159307.00036053
107	3.360232162	0.804034472	f61	0.535908	25.5274	-2068689.115	63	4137384.23	4138204.93889278
107	3.360232162	0.804034472	f1x4	0.586057	26.5087	-2059877.374	6	4119760.747	4119833.48218026
107	3.360232162	0.804034472	f3x4	0.524724	27.0758	-2084200.326	12	4168406.652	4168558.12036053
