rep	entropy	dnds	fspec	omega	kappa	lnlik	k	aic	bic
100	3.89373813443	0.870243639502	f61	0.926798	4.16802	-2273897.64062	63	4547921.28124	4548621.99013278
100	3.89373813443	0.870243639502	f1x4	0.893979	4.19243	-2273264.00037	6	4546540.00074	4546606.73492026
100	3.89373813443	0.870243639502	f3x4	0.893862	4.16108	-2271402.17259	9	4542822.34518	4542922.4464504
100	3.89373813443	0.870243639502	cf3x4	0.883327	4.1514	-2279223.4071	9	4558464.8142	4558564.9154704
100	3.89373813443	0.870243639502	mg1	0.888395	4.17646	-2273206.25168	4	4546420.50336	4546464.99281351
100	3.89373813443	0.870243639502	mg3	0.86961	4.11449	-2271244.33036	6	4542500.66072	4542567.39490026
101	3.7839604278	0.804887376644	f61	0.783278	4.19996	-2299851.44395	63	4599828.8879	4600529.59679278
101	3.7839604278	0.804887376644	f1x4	0.815091	4.304	-2271361.38223	6	4542734.76446	4542801.49864026
101	3.7839604278	0.804887376644	f3x4	0.813949	4.24119	-2270352.56363	9	4540723.12726	4540823.2285304
101	3.7839604278	0.804887376644	cf3x4	0.804395	4.24454	-2278125.68829	9	4556269.37658	4556369.4778504
101	3.7839604278	0.804887376644	mg1	0.807908	4.29111	-2271345.10785	4	4542698.2157	4542742.70515351
101	3.7839604278	0.804887376644	mg3	0.793457	4.18206	-2270257.98281	6	4540527.96562	4540594.69980026
102	3.6961799821	0.780609969527	f61	0.850598	4.24986	-2248581.0168	63	4497288.0336	4497988.74249278
102	3.6961799821	0.780609969527	f1x4	0.757188	4.11117	-2269554.3138	6	4539120.6276	4539187.36178026
102	3.6961799821	0.780609969527	f3x4	0.775066	4.34964	-2282325.48396	9	4564668.96792	4564769.0691904
102	3.6961799821	0.780609969527	cf3x4	0.767621	4.19195	-2268140.71804	9	4536299.43608	4536399.5373504
102	3.6961799821	0.780609969527	mg1	0.747347	4.07683	-2269438.19882	4	4538884.39764	4538928.88709351
102	3.6961799821	0.780609969527	mg3	0.758688	4.28094	-2281971.4299	6	4563954.8598	4564021.59398026
103	3.76967360586	0.789514911566	f61	0.806639	3.96936	-2261896.58205	63	4523919.1641	4524619.87299278
103	3.76967360586	0.789514911566	f1x4	0.785518	4.03764	-2277287.65561	6	4554587.31122	4554654.04540026
103	3.76967360586	0.789514911566	f3x4	0.790219	3.97196	-2266538.46162	9	4533094.92324	4533195.0245104
103	3.76967360586	0.789514911566	cf3x4	0.783261	3.9821	-2270489.59226	9	4540997.18452	4541097.2857904
103	3.76967360586	0.789514911566	mg1	0.779429	4.02028	-2277302.87404	4	4554613.74808	4554658.23753351
103	3.76967360586	0.789514911566	mg3	0.764374	3.91098	-2266450.98313	6	4532913.96626	4532980.70044026
104	3.64354005929	0.75731989028	f61	0.745263	4.18819	-2315201.93779	63	4630529.87558	4631230.58447278
104	3.64354005929	0.75731989028	f1x4	0.75025	4.24734	-2283333.5255	6	4566679.051	4566745.78518026
104	3.64354005929	0.75731989028	f3x4	0.76432	4.17916	-2291147.85738	9	4582313.71476	4582413.8160304
104	3.64354005929	0.75731989028	cf3x4	0.762827	4.2869	-2275375.37147	9	4550768.74294	4550868.8442104
104	3.64354005929	0.75731989028	mg1	0.753665	4.22845	-2283207.28613	4	4566422.57226	4566467.06171351
104	3.64354005929	0.75731989028	mg3	0.751024	4.18361	-2291092.87446	6	4582197.74892	4582264.48310026
105	3.91849777591	0.884297002233	f61	0.886525	3.94379	-2292493.18716	63	4585112.37432	4585813.08321278
105	3.91849777591	0.884297002233	f1x4	0.868695	3.90541	-2287091.96097	6	4574195.92194	4574262.65612026
105	3.91849777591	0.884297002233	f3x4	0.86226	3.96636	-2294035.24321	9	4588088.48642	4588188.5876904
105	3.91849777591	0.884297002233	cf3x4	0.868373	3.93706	-2285291.50934	9	4570601.01868	4570701.1199504
105	3.91849777591	0.884297002233	mg1	0.86999	3.89878	-2287023.30775	4	4574054.6155	4574099.10495351
105	3.91849777591	0.884297002233	mg3	0.866028	3.91975	-2293768.82678	6	4587549.65356	4587616.38774026
106	3.27363142935	0.578466303496	f61	0.635814	3.89964	-2214578.88029	63	4429283.76058	4429984.46947278
106	3.27363142935	0.578466303496	f1x4	0.555102	3.82771	-2253786.81919	6	4507585.63838	4507652.37256026
106	3.27363142935	0.578466303496	f3x4	0.575358	4.05521	-2251334.64226	9	4502687.28452	4502787.3857904
106	3.27363142935	0.578466303496	cf3x4	0.561398	3.87627	-2248966.75504	9	4497951.51008	4498051.6113504
106	3.27363142935	0.578466303496	mg1	0.540017	3.79254	-2253536.38643	4	4507080.77286	4507125.26231351
106	3.27363142935	0.578466303496	mg3	0.555967	4.02092	-2250949.44121	6	4501910.88242	4501977.61660026
107	3.5651981064	0.742379567416	f61	0.696986	3.5777	-2298492.68524	63	4597111.37048	4597812.07937278
107	3.5651981064	0.742379567416	f1x4	0.716456	3.67599	-2272062.94904	6	4544137.89808	4544204.63226026
107	3.5651981064	0.742379567416	f3x4	0.693943	3.64195	-2300413.63077	9	4600845.26154	4600945.3628104
107	3.5651981064	0.742379567416	cf3x4	0.696347	3.59359	-2288663.87046	9	4577345.74092	4577445.8421904
107	3.5651981064	0.742379567416	mg1	0.71279	3.66319	-2271866.66074	4	4543741.32148	4543785.81093351
107	3.5651981064	0.742379567416	mg3	0.690782	3.57063	-2300242.33356	6	4600496.66712	4600563.40130026
108	3.5618518914	0.743220546925	f61	0.818139	4.50995	-2273924.42178	63	4547974.84356	4548675.55245278
108	3.5618518914	0.743220546925	f1x4	0.754078	4.40777	-2284059.31876	6	4568130.63752	4568197.37170026
108	3.5618518914	0.743220546925	f3x4	0.766102	4.58521	-2285846.58558	9	4571711.17116	4571811.2724304
108	3.5618518914	0.743220546925	cf3x4	0.761046	4.45852	-2285170.49357	9	4570358.98714	4570459.0884104
108	3.5618518914	0.743220546925	mg1	0.764139	4.39962	-2284051.75678	4	4568111.51356	4568156.00301351
108	3.5618518914	0.743220546925	mg3	0.748825	4.49238	-2285755.85073	6	4571523.70146	4571590.43564026
109	3.59661309777	0.709353926666	f61	0.680147	3.96783	-2290372.05601	63	4580870.11202	4581570.82091278
109	3.59661309777	0.709353926666	f1x4	0.698152	4.05143	-2278482.36194	6	4556976.72388	4557043.45806026
109	3.59661309777	0.709353926666	f3x4	0.708095	4.04313	-2272024.61226	9	4544067.22452	4544167.3257904
109	3.59661309777	0.709353926666	cf3x4	0.705558	4.05097	-2269138.39183	9	4538294.78366	4538394.8849304
109	3.59661309777	0.709353926666	mg1	0.69535	4.0421	-2278367.57815	4	4556743.1563	4556787.64575351
109	3.59661309777	0.709353926666	mg3	0.687957	3.97096	-2271837.80446	6	4543687.60892	4543754.34310026
10	3.67577203914	0.734126860656	f61	0.766853	4.34747	-2276807.06902	63	4553740.13804	4554440.84693278
10	3.67577203914	0.734126860656	f1x4	0.735668	4.32789	-2283441.9582	6	4566895.9164	4566962.65058026
10	3.67577203914	0.734126860656	f3x4	0.733233	4.27887	-2281767.86803	9	4563553.73606	4563653.8373304
10	3.67577203914	0.734126860656	cf3x4	0.729044	4.29161	-2283245.26184	9	4566508.52368	4566608.6249504
10	3.67577203914	0.734126860656	mg1	0.731528	4.29628	-2283331.21873	4	4566670.43746	4566714.92691351
10	3.67577203914	0.734126860656	mg3	0.713795	4.16956	-2281615.04173	6	4563242.08346	4563308.81764026
110	3.16449505886	0.579926631563	f61	0.645379	4.59462	-2267026.04538	63	4534178.09076	4534878.79965278
110	3.16449505886	0.579926631563	f1x4	0.5677	4.40732	-2290472.38778	6	4580956.77556	4581023.50974026
110	3.16449505886	0.579926631563	f3x4	0.583234	4.66641	-2287341.91919	9	4574701.83838	4574801.9396504
110	3.16449505886	0.579926631563	cf3x4	0.577907	4.48343	-2287652.31292	9	4575322.62584	4575422.7271104
110	3.16449505886	0.579926631563	mg1	0.578441	4.39569	-2290503.93192	4	4581015.86384	4581060.35329351
110	3.16449505886	0.579926631563	mg3	0.56748	4.53368	-2287465.51207	6	4574943.02414	4575009.75832026
111	3.66319393763	0.717035838036	f61	0.699972	4.19347	-2288058.25993	63	4576242.51986	4576943.22875278
111	3.66319393763	0.717035838036	f1x4	0.69982	4.20042	-2286725.13864	6	4573462.27728	4573529.01146026
111	3.66319393763	0.717035838036	f3x4	0.699347	4.15579	-2282156.36645	9	4564330.7329	4564430.8341704
111	3.66319393763	0.717035838036	cf3x4	0.701913	4.19422	-2279178.15414	9	4558374.30828	4558474.4095504
111	3.66319393763	0.717035838036	mg1	0.702042	4.18753	-2286653.29758	4	4573314.59516	4573359.08461351
111	3.66319393763	0.717035838036	mg3	0.69254	4.07196	-2281745.17541	6	4563502.35082	4563569.08500026
112	3.71416651319	0.802806881032	f61	0.821193	4.49068	-2293984.38308	63	4588094.76616	4588795.47505278
112	3.71416651319	0.802806881032	f1x4	0.805591	4.45587	-2278615.69325	6	4557243.3865	4557310.12068026
112	3.71416651319	0.802806881032	f3x4	0.796223	4.45586	-2293664.38396	9	4587346.76792	4587446.8691904
112	3.71416651319	0.802806881032	cf3x4	0.797326	4.42913	-2287826.47586	9	4575670.95172	4575771.0529904
112	3.71416651319	0.802806881032	mg1	0.797047	4.42835	-2278587.20009	4	4557182.40018	4557226.88963351
112	3.71416651319	0.802806881032	mg3	0.789966	4.37296	-2293309.13495	6	4586630.2699	4586697.00408026
113	3.30868774647	0.636490488974	f61	0.650338	3.69341	-2258723.02494	63	4517572.04988	4518272.75877278
113	3.30868774647	0.636490488974	f1x4	0.616261	3.70164	-2285217.95497	6	4570447.90994	4570514.64412026
113	3.30868774647	0.636490488974	f3x4	0.603507	3.80173	-2306740.89964	9	4613499.79928	4613599.9005504
113	3.30868774647	0.636490488974	cf3x4	0.61356	3.68965	-2279954.21974	9	4559926.43948	4560026.5407504
113	3.30868774647	0.636490488974	mg1	0.622959	3.68895	-2285210.67469	4	4570429.34938	4570473.83883351
113	3.30868774647	0.636490488974	mg3	0.610798	3.73458	-2306601.66569	6	4613215.33138	4613282.06556026
114	3.65793835789	0.784834984624	f61	0.762489	3.76406	-2302682.7963	63	4605491.5926	4606192.30149278
114	3.65793835789	0.784834984624	f1x4	0.780965	3.86337	-2277638.56174	6	4555289.12348	4555355.85766026
114	3.65793835789	0.784834984624	f3x4	0.754598	3.84201	-2312148.37406	9	4624314.74812	4624414.8493904
114	3.65793835789	0.784834984624	cf3x4	0.763954	3.80803	-2287783.26644	9	4575584.53288	4575684.6341504
114	3.65793835789	0.784834984624	mg1	0.779285	3.8453	-2277482.73337	4	4554973.46674	4555017.95619351
114	3.65793835789	0.784834984624	mg3	0.758025	3.78582	-2311759.87492	6	4623531.74984	4623598.48402026
115	3.43080802012	0.701228072516	f61	0.663017	3.68524	-2277795.47352	63	4555716.94704	4556417.65593278
115	3.43080802012	0.701228072516	f1x4	0.66353	3.77362	-2267392.25453	6	4534796.50906	4534863.24324026
115	3.43080802012	0.701228072516	f3x4	0.641327	3.80739	-2298813.65458	9	4597645.30916	4597745.4104304
115	3.43080802012	0.701228072516	cf3x4	0.646023	3.7012	-2278940.78893	9	4557899.57786	4557999.6791304
115	3.43080802012	0.701228072516	mg1	0.660879	3.75566	-2267128.23315	4	4534264.4663	4534308.95575351
115	3.43080802012	0.701228072516	mg3	0.636399	3.70872	-2298768.58134	6	4597549.16268	4597615.89686026
116	3.24671199966	0.612521163118	f61	0.582455	4.5375	-2286150.4783	63	4572426.9566	4573127.66549278
116	3.24671199966	0.612521163118	f1x4	0.606913	4.62157	-2287467.06335	6	4574946.1267	4575012.86088026
116	3.24671199966	0.612521163118	f3x4	0.62806	4.42979	-2237975.79384	9	4475969.58768	4476069.6889504
116	3.24671199966	0.612521163118	cf3x4	0.617052	4.57681	-2258179.79832	9	4516377.59664	4516477.6979104
116	3.24671199966	0.612521163118	mg1	0.602887	4.61477	-2287241.85449	4	4574491.70898	4574536.19843351
116	3.24671199966	0.612521163118	mg3	0.598188	4.37853	-2237586.6166	6	4475185.2332	4475251.96738026
117	3.77776890569	0.797127032131	f61	0.858844	4.02708	-2247651.85468	63	4495429.70936	4496130.41825278
117	3.77776890569	0.797127032131	f1x4	0.782525	3.95938	-2272526.72666	6	4545065.45332	4545132.18750026
117	3.77776890569	0.797127032131	f3x4	0.789391	4.10301	-2276516.36188	9	4553050.72376	4553150.8250304
117	3.77776890569	0.797127032131	cf3x4	0.786948	4.00328	-2269287.20338	9	4538592.40676	4538692.5080304
117	3.77776890569	0.797127032131	mg1	0.774406	3.94201	-2272362.13755	4	4544732.2751	4544776.76455351
117	3.77776890569	0.797127032131	mg3	0.780313	4.07211	-2276227.0848	6	4552466.1696	4552532.90378026
118	3.61956017474	0.737359805862	f61	0.787424	4.00416	-2231798.26565	63	4463722.5313	4464423.24019278
118	3.61956017474	0.737359805862	f1x4	0.705964	3.94782	-2262608.21754	6	4525228.43508	4525295.16926026
118	3.61956017474	0.737359805862	f3x4	0.727169	4.14663	-2259207.04085	9	4518432.0817	4518532.1829704
118	3.61956017474	0.737359805862	cf3x4	0.71247	3.99307	-2257353.12946	9	4514724.25892	4514824.3601904
118	3.61956017474	0.737359805862	mg1	0.692518	3.91961	-2262413.37157	4	4524834.74314	4524879.23259351
118	3.61956017474	0.737359805862	mg3	0.703817	4.10099	-2258910.71338	6	4517833.42676	4517900.16094026
119	3.52746345691	0.737004554919	f61	0.737122	4.29328	-2282148.06542	63	4564422.13084	4565122.83973278
