rep	seqlen	mu	kappa	sd	bias	gc	entropy	dnds	kspec	omega	w_err	mlk	
1	500000	1e-06	2.26720958902	0.977062265576	0.841992265594	0.4412545034	3.54154869511	0.90731408508	free	0.906953	0.000397971425987	2.25481
1	500000	1e-06	2.26720958902	0.977062265576	0.841992265594	0.4412545034	3.54154869511	0.90731408508	true	0.908154	-0.000925715729044	2.26720958902
10	500000	1e-06	5.19671965894	1.64669739957	0.56532959077	0.510505170075	3.20364288296	0.552703329793	free	0.539009	0.0247769988975	4.79827
10	500000	1e-06	5.19671965894	1.64669739957	0.56532959077	0.510505170075	3.20364288296	0.552703329793	true	0.546916	0.0104709515593	5.19671965894
100	500000	1e-06	5.21668205618	3.83529391665	1.39815043793	0.646660164921	0.542694080194	0.0565610897732	free	0.0612624	-0.0831191592259	7.21835
100	500000	1e-06	5.21668205618	3.83529391665	1.39815043793	0.646660164921	0.542694080194	0.0565610897732	true	0.0550492	0.0267302093934	5.21668205618
11	500000	1e-06	2.58947093769	0.0223523518801	1.01126484976	0.45912073774	3.6647247578	1.12995441921	free	1.12681	0.00278278412042	2.42846
11	500000	1e-06	2.58947093769	0.0223523518801	1.01126484976	0.45912073774	3.6647247578	1.12995441921	true	1.14395	-0.0123859693342	2.58947093769
12	500000	1e-06	4.97324276128	3.54551881155	1.73714464571	0.249100922682	1.74775309308	0.39374738533	free	0.272024	0.309140809222	1.57913
12	500000	1e-06	4.97324276128	3.54551881155	1.73714464571	0.249100922682	1.74775309308	0.39374738533	true	0.360923	0.0833640718719	4.97324276128
13	500000	1e-06	3.59039694191	0.64030461479	0.650003756639	0.471319776602	3.72804088031	0.923866958607	free	0.920638	0.00349504717871	3.33208
13	500000	1e-06	3.59039694191	0.64030461479	0.650003756639	0.471319776602	3.72804088031	0.923866958607	true	0.931409	-0.00816355788304	3.59039694191
14	500000	1e-06	4.79687444279	1.65806699733	1.79345494818	0.429331006511	2.65899946841	1.5164923731	free	1.49907	0.0114885992225	4.24663
14	500000	1e-06	4.79687444279	1.65806699733	1.79345494818	0.429331006511	2.65899946841	1.5164923731	true	1.53993	-0.0154551564632	4.79687444279
15	500000	1e-06	3.21130943616	2.80960203019	1.10112472478	0.832275878023	1.66540450533	0.176623246205	free	0.17486	0.0099830925031	2.61103
15	500000	1e-06	3.21130943616	2.80960203019	1.10112472478	0.832275878023	1.66540450533	0.176623246205	true	0.176464	0.00090161520912	3.21130943616
16	500000	1e-06	5.40753660389	3.3406223851	1.08081941926	0.261992641192	2.13225119392	0.437968165297	free	0.470255	-0.0737195925673	7.78683
16	500000	1e-06	5.40753660389	3.3406223851	1.08081941926	0.261992641192	2.13225119392	0.437968165297	true	0.434213	0.0085740599304	5.40753660389
17	500000	1e-06	4.38357827327	0.213784035599	0.686472123873	0.479085199952	3.87934742055	1.06297368831	free	1.0638	-0.000777358558274	4.24609
