rep	entropy	dnds	fspec	omega	kappa	lnlik	k	aic
122	3.449369804	0.801228498	f1x4	0.757707	2.01505	-2152060.729	3	4304127.458
122	3.449369804	0.801228498	f3x4	0.765174	1.99654	-2136057.176	3	4272120.351
122	3.449369804	0.801228498	cf3x4	0.737753	2.04104	-2151117.088	3	4302240.177
122	3.449369804	0.801228498	mg1	0.819818	2.06653	-2150759.938	3	4301525.875
122	3.449369804	0.801228498	mg3	0.800139	2.01182	-2134088.429	3	4268182.857
123	3.827197407	0.772688975	f61	0.696668	1.63005	-2309484.827	3	4618975.654
123	3.827197407	0.772688975	f1x4	0.677716	1.61364	-2332372.464	3	4664750.928
123	3.827197407	0.772688975	f3x4	0.669371	1.62086	-2320092.074	3	4640190.148
123	3.827197407	0.772688975	cf3x4	0.656927	1.62133	-2327968.765	3	4655943.529
123	3.827197407	0.772688975	mg1	0.854803	1.69947	-2330391.045	3	4660788.091
123	3.827197407	0.772688975	mg3	0.836356	1.65631	-2317708.708	3	4635423.416
124	3.282378632	0.735199668	f61	0.692074	2.30486	-2122418.153	3	4244842.306
124	3.282378632	0.735199668	f1x4	0.698882	2.25427	-2124824.661	3	4249655.323
124	3.282378632	0.735199668	f3x4	0.645706	2.24932	-2146120.633	3	4292247.265
124	3.282378632	0.735199668	cf3x4	0.657669	2.27003	-2132072.493	3	4264150.987
124	3.282378632	0.735199668	mg1	0.745006	2.34639	-2121837.099	3	4243680.198
124	3.282378632	0.735199668	mg3	0.724366	2.30793	-2142523.076	3	4285052.152
125	3.556622429	0.850185842	f61	0.787261	2.18141	-2132216.634	3	4264439.268
125	3.556622429	0.850185842	f1x4	0.789243	2.14783	-2135165.642	3	4270337.284
125	3.556622429	0.850185842	f3x4	0.749076	2.17903	-2153571.342	3	4307148.683
125	3.556622429	0.850185842	cf3x4	0.754855	2.1692	-2139909.241	3	4279824.483
125	3.556622429	0.850185842	mg1	0.844685	2.23124	-2132978.798	3	4265963.595
125	3.556622429	0.850185842	mg3	0.819287	2.21474	-2150863.186	3	4301732.371
126	3.56247351	0.702965897	f61	0.677766	1.8421	-2197282.711	3	4394571.422
126	3.56247351	0.702965897	f1x4	0.646638	1.85504	-2227096	3	4454198
126	3.56247351	0.702965897	f3x4	0.630454	1.9717	-2233850.903	3	4467707.805
126	3.56247351	0.702965897	cf3x4	0.626518	1.86209	-2222618.261	3	4445242.523
126	3.56247351	0.702965897	mg1	0.732324	2.02742	-2224462.99	3	4448931.98
126	3.56247351	0.702965897	mg3	0.706988	2.06837	-2231064.721	3	4462135.443
127	3.7714893	0.897380001	f61	0.827308	1.87553	-2191081.355	3	4382168.711
127	3.7714893	0.897380001	f1x4	0.82916	1.90506	-2197603.299	3	4395212.598
127	3.7714893	0.897380001	f3x4	0.808593	1.93284	-2203923.139	3	4407852.278
127	3.7714893	0.897380001	cf3x4	0.798867	1.90301	-2201331.505	3	4402669.01
127	3.7714893	0.897380001	mg1	0.922435	2.01355	-2195852.947	3	4391711.894
127	3.7714893	0.897380001	mg3	0.884159	1.98857	-2201799.783	3	4403605.566
128	3.665451469	0.865175317	f61	0.7583	2.04708	-2197421.888	3	4394849.777
128	3.665451469	0.865175317	f1x4	0.788752	2.02333	-2176758.604	3	4353523.209
128	3.665451469	0.865175317	f3x4	0.759115	2.04709	-2193546.711	3	4387099.423
128	3.665451469	0.865175317	cf3x4	0.75293	2.04537	-2193043.909	3	4386093.818
128	3.665451469	0.865175317	mg1	0.882574	2.13319	-2174616.786	3	4349239.573
128	3.665451469	0.865175317	mg3	0.856407	2.09977	-2191106.52	3	4382219.039
129	3.78315639	0.82720081	f61	0.737307	1.80748	-2218577.044	3	4437160.087
129	3.78315639	0.82720081	f1x4	0.72962	1.81395	-2246906.353	3	4493818.705
129	3.78315639	0.82720081	f3x4	0.713006	1.85194	-2238964.216	3	4477934.432
129	3.78315639	0.82720081	cf3x4	0.704441	1.80305	-2236289.798	3	4472585.596
129	3.78315639	0.82720081	mg1	0.875462	1.91405	-2244594.468	3	4489194.936
129	3.78315639	0.82720081	mg3	0.847071	1.89851	-2236373.723	3	4472753.446
12	3.362996987	0.747574883	f61	0.669624	1.83829	-2121083.011	3	4242172.023
12	3.362996987	0.747574883	f1x4	0.656404	1.83027	-2148928.799	3	4297863.598
12	3.362996987	0.747574883	f3x4	0.640783	1.94719	-2162092.089	3	4324190.179
12	3.362996987	0.747574883	cf3x4	0.635551	1.83293	-2141126.392	3	4282258.784
12	3.362996987	0.747574883	mg1	0.738845	1.95399	-2146740.52	3	4293487.04
12	3.362996987	0.747574883	mg3	0.723018	2.02851	-2159677.775	3	4319361.549
130	3.566701758	0.688916672	f61	0.570899	1.61116	-2212729.443	3	4425464.886
130	3.566701758	0.688916672	f1x4	0.592424	1.62474	-2211555.177	3	4423116.353
130	3.566701758	0.688916672	f3x4	0.590737	1.63708	-2198972.723	3	4397951.446
130	3.566701758	0.688916672	cf3x4	0.571317	1.61619	-2206063.981	3	4412133.962
130	3.566701758	0.688916672	mg1	0.706588	1.77002	-2209973.183	3	4419952.366
130	3.566701758	0.688916672	mg3	0.686861	1.73286	-2196681.655	3	4393369.31
131	3.646889164	0.658958624	f61	0.535005	1.59938	-2379898.082	3	4759802.164
131	3.646889164	0.658958624	f1x4	0.56374	1.60129	-2346646.32	3	4693298.64
131	3.646889164	0.658958624	f3x4	0.54575	1.62141	-2345334.784	3	4690675.568
131	3.646889164	0.658958624	cf3x4	0.534737	1.61082	-2360110.773	3	4720227.545
131	3.646889164	0.658958624	mg1	0.741679	1.71148	-2344866.225	3	4689738.451
131	3.646889164	0.658958624	mg3	0.727196	1.69576	-2343303.435	3	4686612.869
132	3.37789654	0.636951295	f61	0.622867	2.03938	-2181272.563	3	4362551.125
132	3.37789654	0.636951295	f1x4	0.62576	1.97539	-2199985.825	3	4399977.65
132	3.37789654	0.636951295	f3x4	0.646678	1.98156	-2167035.401	3	4334076.803
132	3.37789654	0.636951295	cf3x4	0.620234	2.02979	-2181731.789	3	4363469.577
132	3.37789654	0.636951295	mg1	0.69079	1.95998	-2197056.385	3	4394118.77
132	3.37789654	0.636951295	mg3	0.688407	1.91745	-2162876.219	3	4325758.438
133	2.873309974	0.572677115	f61	0.563262	1.99884	-2056954.968	3	4113915.937
133	2.873309974	0.572677115	f1x4	0.554396	1.98177	-2075874.948	3	4151755.897
133	2.873309974	0.572677115	f3x4	0.566288	2.07863	-2048603.334	3	4097212.668
133	2.873309974	0.572677115	cf3x4	0.549526	2.04586	-2063551.067	3	4127108.134
133	2.873309974	0.572677115	mg1	0.56696	2.02395	-2073960.667	3	4147927.333
133	2.873309974	0.572677115	mg3	0.554643	2.01474	-2046035.895	3	4092077.789
134	3.300351121	0.593742742	f61	0.49123	1.77037	-2250989.179	3	4501984.358
134	3.300351121	0.593742742	f1x4	0.513072	1.75329	-2252013.463	3	4504032.925
134	3.300351121	0.593742742	f3x4	0.522906	1.70932	-2215551.44	3	4431108.881
134	3.300351121	0.593742742	cf3x4	0.49921	1.76951	-2239672.174	3	4479350.348
134	3.300351121	0.593742742	mg1	0.624128	1.87793	-2250530.575	3	4501067.15
134	3.300351121	0.593742742	mg3	0.615448	1.79015	-2213104.572	3	4426215.144
135	3.392013237	0.707542018	f61	0.589706	1.91621	-2246461.579	3	4492929.158
135	3.392013237	0.707542018	f1x4	0.622041	1.86365	-2209176.826	3	4418359.652
135	3.392013237	0.707542018	f3x4	0.609012	1.98685	-2237926.031	3	4475858.062
135	3.392013237	0.707542018	cf3x4	0.592531	1.89048	-2234418.42	3	4468842.84
135	3.392013237	0.707542018	mg1	0.713182	1.99681	-2207423.875	3	4414853.75
135	3.392013237	0.707542018	mg3	0.709923	2.07061	-2235799.061	3	4471604.121
136	3.221722683	0.773976868	f61	0.773285	2.39003	-2104623.607	3	4209253.214
136	3.221722683	0.773976868	f1x4	0.785216	2.32083	-2108974.46	3	4217954.921
136	3.221722683	0.773976868	f3x4	0.806295	2.28582	-2074068.383	3	4148142.766
136	3.221722683	0.773976868	cf3x4	0.772287	2.36283	-2096506.827	3	4193019.654
136	3.221722683	0.773976868	mg1	0.803908	2.33065	-2107182.502	3	4214371.004
136	3.221722683	0.773976868	mg3	0.79229	2.24384	-2071359.253	3	4142724.506
137	3.310602182	0.7500332	f61	0.724615	2.02261	-2130085.054	3	4260176.108
137	3.310602182	0.7500332	f1x4	0.741827	1.98329	-2129762.646	3	4259531.292
137	3.310602182	0.7500332	f3x4	0.710426	1.98116	-2123187.883	3	4246381.765
137	3.310602182	0.7500332	cf3x4	0.71137	1.95825	-2127767.976	3	4255541.952
137	3.310602182	0.7500332	mg1	0.769886	2.06927	-2128378.412	3	4256762.825
137	3.310602182	0.7500332	mg3	0.747479	2.01411	-2120859.572	3	4241725.144
138	2.640334906	0.562420137	f61	0.56943	2.24111	-2027193.971	3	4054393.943
138	2.640334906	0.562420137	f1x4	0.578005	2.15585	-2039486.443	3	4078978.887
138	2.640334906	0.562420137	f3x4	0.615667	2.12688	-1974632.776	3	3949271.552
138	2.640334906	0.562420137	cf3x4	0.579221	2.24177	-2013255.591	3	4026517.182
138	2.640334906	0.562420137	mg1	0.566024	2.13535	-2036527.526	3	4073061.052
138	2.640334906	0.562420137	mg3	0.571189	2.05425	-1970323.728	3	3940653.457
139	3.589370833	0.86198923	f61	0.811561	2.02095	-2187377.724	3	4374761.448
139	3.589370833	0.86198923	f1x4	0.815899	1.99893	-2166991.447	3	4333988.893
139	3.589370833	0.86198923	f3x4	0.795648	2.07295	-2197782.363	3	4395570.726
139	3.589370833	0.86198923	cf3x4	0.792352	2.03031	-2172799.687	3	4345605.374
139	3.589370833	0.86198923	mg1	0.84472	2.11524	-2165322.299	3	4330650.597
139	3.589370833	0.86198923	mg3	0.813163	2.13483	-2195793.926	3	4391593.853
13	3.01670191	0.605577932	f61	0.575208	2.04272	-2173781.664	3	4347569.329
13	3.01670191	0.605577932	f1x4	0.593142	2.00971	-2164790.52	3	4329587.04
13	3.01670191	0.605577932	f3x4	0.580019	1.961	-2147723.558	3	4295453.116
13	3.01670191	0.605577932	cf3x4	0.569373	1.97169	-2167594.43	3	4335194.861
13	3.01670191	0.605577932	mg1	0.621672	2.08905	-2163649.127	3	4327304.255
13	3.01670191	0.605577932	mg3	0.608254	1.98616	-2145428.439	3	4290862.878
140	3.531558618	0.77283934	f61	0.704917	1.98228	-2221654.836	3	4443315.671
140	3.531558618	0.77283934	f1x4	0.734097	1.93743	-2192769.939	3	4385545.879
140	3.531558618	0.77283934	f3x4	0.736388	2.02686	-2213155.878	3	4426317.756
140	3.531558618	0.77283934	cf3x4	0.708321	1.97135	-2211358.86	3	4422723.72
140	3.531558618	0.77283934	mg1	0.805354	2.02785	-2191402.511	3	4382811.021
140	3.531558618	0.77283934	mg3	0.791039	2.05155	-2211112.527	3	4422231.055
141	3.228241205	0.582739206	f61	0.505363	1.92017	-2215686.029	3	4431378.059
141	3.228241205	0.582739206	f1x4	0.505659	1.87578	-2233270.416	3	4466546.831
141	3.228241205	0.582739206	f3x4	0.47195	1.91822	-2243584.303	3	4487174.606
141	3.228241205	0.582739206	cf3x4	0.485485	1.92278	-2227385.048	3	4454776.097
141	3.228241205	0.582739206	mg1	0.600861	2.03631	-2232165.574	3	4464337.148
141	3.228241205	0.582739206	mg3	0.58791	2.02954	-2241789.833	3	4483585.666
142	2.946958667	0.665087761	f61	0.663933	2.36854	-2068620.438	3	4137246.876
142	2.946958667	0.665087761	f1x4	0.659607	2.35285	-2083800.912	3	4167607.823
142	2.946958667	0.665087761	f3x4	0.606895	2.30129	-2094984.518	3	4189975.035
142	2.946958667	0.665087761	cf3x4	0.616386	2.34146	-2091228.618	3	4182463.236
142	2.946958667	0.665087761	mg1	0.676973	2.43111	-2080713.296	3	4161432.591
142	2.946958667	0.665087761	mg3	0.65452	2.36671	-2091154.731	3	4182315.462
143	3.132245497	0.649727292	f61	0.663334	2.03665	-2110435.264	3	4220876.528
143	3.132245497	0.649727292	f1x4	0.63841	2.03074	-2130541.189	3	4261088.378
143	3.132245497	0.649727292	f3x4	0.638368	2.19813	-2132578.157	3	4265162.315
143	3.132245497	0.649727292	cf3x4	0.627169	2.07892	-2125483.547	3	4250973.094
143	3.132245497	0.649727292	mg1	0.671373	2.14341	-2128468.454	3	4256942.907
143	3.132245497	0.649727292	mg3	0.650728	2.19473	-2130038.953	3	4260083.907
144	2.882215643	0.600397887	f61	0.597279	2.25303	-2076996.543	3	4153999.086
144	2.882215643	0.600397887	f1x4	0.596002	2.23495	-2093247.53	3	4186501.06
144	2.882215643	0.600397887	f3x4	0.561836	2.166	-2087234.899	3	4174475.798
144	2.882215643	0.600397887	cf3x4	0.558579	2.22379	-2097317.883	3	4194641.766
144	2.882215643	0.600397887	mg1	0.619218	2.30836	-2089904.576	3	4179815.151
144	2.882215643	0.600397887	mg3	0.599657	2.20449	-2083467.512	3	4166941.025
145	3.413612076	0.705658236	f61	0.590529	1.80448	-2266096.179	3	4532198.358
145	3.413612076	0.705658236	f1x4	0.635064	1.85733	-2226725.142	3	4453456.285
145	3.413612076	0.705658236	f3x4	0.622097	1.84288	-2242396.55	3	4484799.1
145	3.413612076	0.705658236	cf3x4	0.608287	1.84457	-2244774.927	3	4489555.855
145	3.413612076	0.705658236	mg1	0.735918	1.99193	-2225063.58	3	4450133.16
145	3.413612076	0.705658236	mg3	0.704772	1.90942	-2240522.924	3	4481051.848
146	3.404169	0.65348594	f61	0.565896	1.80919	-2220996.101	3	4441998.202
146	3.404169	0.65348594	f1x4	0.568074	1.79739	-2241151.174	3	4482308.347
146	3.404169	0.65348594	f3x4	0.553266	1.76651	-2224769.035	3	4449544.07
146	3.404169	0.65348594	cf3x4	0.545609	1.81102	-2235932.433	3	4471870.866
146	3.404169	0.65348594	mg1	0.690668	1.94222	-2239180.708	3	4478367.416
146	3.404169	0.65348594	mg3	0.674344	1.86065	-2222410.39	3	4444826.78
147	3.228155488	0.629422077	f61	0.547217	2.22749	-2196137.218	3	4392280.435
147	3.228155488	0.629422077	f1x4	0.57765	2.184	-2191110.207	3	4382226.414
147	3.228155488	0.629422077	f3x4	0.600446	2.12002	-2145483.352	3	4290972.704
147	3.228155488	0.629422077	cf3x4	0.566583	2.21817	-2175262.55	3	4350531.099
147	3.228155488	0.629422077	mg1	0.665598	2.27047	-2190408.615	3	4380823.229
147	3.228155488	0.629422077	mg3	0.656977	2.16085	-2143837.4	3	4287680.8
148	2.583063921	0.607035912	f61	0.540207	2.40751	-2109447.222	3	4218900.444
148	2.583063921	0.607035912	f1x4	0.582734	2.13676	-2046667.773	3	4093341.546
148	2.583063921	0.607035912	f3x4	0.517834	2.34959	-2138055.777	3	4276117.553
148	2.583063921	0.607035912	cf3x4	0.543051	2.21569	-2077513.993	3	4155033.987
148	2.583063921	0.607035912	mg1	0.574979	2.27622	-2043918.433	3	4087842.865
148	2.583063921	0.607035912	mg3	0.551754	2.30109	-2136076.806	3	4272159.612
149	3.153046744	0.661082151	f61	0.654625	2.52844	-2213399.235	3	4426804.469
149	3.153046744	0.661082151	f1x4	0.676493	2.63977	-2223757.57	3	4447521.139
